Wine_name,Wine_description,Wine_price,Wine_rating,ratings_count
Caymus Napa Valley Cabernet Sauvignon 2018,"Napa Valley, California",$79,4.5,580 Ratings
Opus One 2016,"Oakville, Napa Valley, California",$369,4.6,61 Ratings
Joseph Phelps Insignia 2016,"Napa Valley, California",$300,4.6,45 Ratings
Silver Oak Napa Valley Cabernet Sauvignon 2015,"Napa Valley, California",$124,4.7,71 Ratings
Caymus Special Selection Cabernet Sauvignon 2016,"Napa Valley, California",$180,4.7,41 Ratings
Duckhorn Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",$78,4.3,266 Ratings
Antinori Tignanello 2016,"Tuscany, Italy",$134,4.6,184 Ratings
Silver Oak Alexander Valley Cabernet Sauvignon 2016,"Alexander Valley, Sonoma County, California",$79,4.4,19 Ratings
Tenuta San Guido Sassicaia 2017,"Bolgheri, Tuscany, Italy",$255,4.9,46 Ratings
Roserock by Drouhin Oregon Eola-Amity Hills Pinot Noir 2016,"Eola-Amity Hills, Willamette Valley, Oregon",$35,4.1,321 Ratings
Tenuta di Nozzole Chianti Classico Riserva 2016,"Chianti Classico, Chianti, Tuscany, Italy",$24,4.1,857 Ratings
Stag's Leap Wine Cellars Artemis Cabernet Sauvignon 2017,"Napa Valley, California",$75,4.5,281 Ratings
Hall Coeur Cabernet Sauvignon 2013,"Napa Valley, California",$85,4.2,180 Ratings
Domaine Drouhin Oregon Pinot Noir 2016,"Dundee Hills, Willamette Valley, Oregon",$45,4.3,188 Ratings
Caparzo Brunello di Montalcino 2015,"Montalcino, Tuscany, Italy",$45,4.1,26 Ratings
The Prisoner Wine Company The Prisoner 2018,"Napa Valley, California",$49,4.6,559 Ratings
Mazzei Chianti Classico Riserva Ser Lapo 2016,"Chianti Classico, Chianti, Tuscany, Italy",$37,3.9,421 Ratings
Joel Gott Blend No. 815 Cabernet Sauvignon 2017,California,$20,4.0,742 Ratings
Antinori Tignanello 2017,"Tuscany, Italy",$129,4.5,9 Ratings
Domaine Lafage Bastide Miraflors Vieilles Vignes 2016,"C̫tes du Roussillon, Roussillon, South of France, France",$16,4.0,203 Ratings
Schug Sonoma Coast Pinot Noir 2018,"Sonoma Coast, Sonoma County, California",$30,3.9,358 Ratings
Vietti Barolo Castiglione 2016,"Barolo, Piedmont, Italy",$56,4.3,12 Ratings
Bodegas Muga Reserva 2016,"Rioja, Spain",$30,4.1,107 Ratings
Jordan Cabernet Sauvignon 2015,"Alexander Valley, Sonoma County, California",$64,4.4,162 Ratings
Argiano Brunello di Montalcino 2015,"Montalcino, Tuscany, Italy",$75,4.3,81 Ratings
